report,idx,kernel,dur_us,dram_pct,dram_pct_alt,sm_pct,l2_hit_pct,occ_pct,regs,ld_sectors_per_req,st_sectors_per_req,dram_bytes
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,2,_ltx2_split_rotary_kernel,19.424,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,3,_ltx2_split_rotary_kernel,19.456,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,4,_ltx2_split_rotary_kernel,19.36,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,5,_ltx2_split_rotary_kernel,19.552,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,6,_ltx2_split_rotary_kernel,19.456,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,7,_ltx2_split_rotary_kernel,19.648,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,8,_ltx2_split_rotary_kernel,19.648,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,0,_ltx2_split_rotary_kernel,35.552,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,1,_ltx2_split_rotary_kernel,35.04,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,2,_ltx2_split_rotary_kernel,35.744,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,3,_ltx2_split_rotary_kernel,35.2,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,4,_ltx2_split_rotary_kernel,35.36,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,5,_ltx2_split_rotary_kernel,35.488,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,6,_ltx2_split_rotary_kernel,35.168,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,7,_ltx2_split_rotary_kernel,35.2,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,8,_ltx2_split_rotary_kernel,34.944,,,,,,25.0,,,
dur_cand_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,0,standard_rope_kernel,91.232,,,,,,29.0,,,
dur_cand_ltx2__B1_S126_H32_half32__bf16.ncu-rep,0,ltx2_split_rope_kernel,3.584,,,,,,32.0,,,
dur_cand_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,0,ltx2_split_rope_kernel,7.808,,,,,,32.0,,,
dur_cand_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,0,ltx2_split_rope_kernel,11.488,,,,,,32.0,,,
dur_cand_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,0,ltx2_split_rope_kernel,18.816,,,,,,32.0,,,
dur_cand_ltx2__B1_S6144_H32_half64__bf16.ncu-rep,0,ltx2_split_rope_kernel,36.192,,,,,,32.0,,,
l32_full.ncu-rep,0,ltx2_split_rope_kernel,18.72,63.2357,,39.3388,34.5082,68.0999,32.0,,,
l64_full.ncu-rep,0,ltx2_split_rope_kernel,35.936,76.1866,,42.0281,33.9687,80.9731,32.0,,,
l64_source.ncu-rep,0,ltx2_split_rope_kernel,35.616,,,,,,32.0,,,
std_full.ncu-rep,0,standard_rope_kernel,89.408,74.4374,,38.4221,48.0657,81.5436,29.0,,,
std_source.ncu-rep,0,standard_rope_kernel,89.664,,,,,,29.0,,,
